8-PV
1.968
2.033
5.905
5.119
2.092
1.834
6.437
2.76
44.338
1.487
4.654
2.022
1.438
1.69
2.165
2.765
3.213
6.936
2.074
0.431
0.492
2.315
2.503
2.742
1.653
2.644
1.482
3.179
2.789
2.854
