,1-JV,2-JV,3-JV,4-JV,5-JV,6-JV
0,0.341,0.362,1.51,1.434,7.451,902.205
1,2.815,1.582,0.253,1.054,7.463,0.0
2,0.356,1.201,0.2,2.094,2.893,1.0
3,0.619,0.353,1.38,0.307,8.26,2.0
4,0.523,0.225,4.115,0.742,7.496,3.0
5,0.242,0.231,0.202,2.404,8.171,4.0
6,0.246,1.355,1.29,0.445,7.19,5.0
7,0.227,0.211,11.05,0.295,6.689,6.0
8,0.239,1.963,1.373,3.49,6.986,7.0
9,0.268,1.879,32.023,4.043,5.232,8.0
10,0.259,26.197,0.862,0.931,5.997,9.0
11,0.222,0.215,0.327,3.496,6.515,10.0
12,2.502,0.204,13.255,0.285,7.283,11.0
13,0.225,19.5,2.023,0.613,10.633,12.0
14,0.236,1.154,3.039,3.462,15.0,1.082
15,1.373,0.329,0.515,4.97,17.0,3.096
16,0.275,1.258,0.639,1.382,19.0,6.986
17,24.765,1.145,2.293,0.661,21.0,1.24
18,0.302,0.374,0.228,3.747,23.0,6.036
19,0.212,0.992,3.05,1.522,25.0,7.145
20,0.351,0.229,0.207,0.283,27.0,1.545
21,0.266,0.232,0.212,1.427,29.0,5.952
22,0.236,32.359,5.23,0.298,,3.66
23,4.894,0.357,0.222,2.382,,5.75
24,0.222,2.685,1.76,0.817,,6.603
25,0.251,0.438,2.394,1.263,,5.763
26,0.389,0.456,0.226,0.55,,3.809
27,0.242,1.992,1.096,3.144,,4.625
28,0.265,1.353,0.286,5.167,,3.501
29,0.363,0.315,5.07,1.467,,9.504
30,,,,,,6.757
mean,1.4575333333333333,3.3715333333333337,3.2110000000000003,1.805833333333333,12.466318181818183,34.29867741935483
