1-PV
0.231
0.229
0.299
0.336
0.248
0.342
0.316
0.333
0.34
0.347
0.355
0.366
0.324
0.335
0.327
0.339
0.343
0.342
0.368
0.328
0.337
0.368
0.341
0.326
0.331
0.374
0.358
0.347
0.351
0.319
