2-PV
0.379
0.26
0.438
0.326
0.23
2.821
1.338
19.111
0.264
0.244
0.262
0.261
0.203
0.266
1.932
0.265
0.318
0.228
0.31
0.25
0.215
0.289
0.229
0.256
0.305
0.833
0.251
0.244
0.419
1.837
