6k-RS
1.346
1.122
0.483
3.617
1.903
0.428
0.681
1.513
0.469
2.116
1.982
0.604
0.656
0.521
0.981
1.901
0.397
1.194
45.356
37.532
1.899
1.16
1.264
1.254
2.693
35.054
2.201
1.102
32.594
2.293
