10-PV
2.527
39.351
1.862
3.651
4.904
0.483
1.248
6.544
38.478
3.944
5.207
35.557
38.078
0.619
0.489
3.699
3.584
3.32
0.587
4.023
0.56
0.584
1.687
4.668
44.099
1.595
0.537
41.719
2.774
2.091
