3-PV
0.463
0.324
0.204
0.274
0.218
2.549
0.843
29.358
0.292
5.122
33.671
0.379
0.509
0.284
0.287
0.456
0.54
4.257
0.248
5.8
0.21
0.24
0.369
0.194
0.329
0.291
0.443
0.208
0.407
0.607
