9-PV
0.424
0.588
2.138
0.322
0.395
0.503
1.562
50.344
1.31
39.981
1.329
0.35
0.363
0.34
1.389
42.719
0.387
0.36
0.433
0.847
53.082
55.558
0.538
0.564
2.138
54.458
2.849
71.612
2.576
1.994
