3k-RS
2.04
2.2
0.434
0.577
1.315
34.251
0.416
1.888
0.581
1.67
0.215
165.45
0.534
3.647
0.543
3.714
0.306
0.197
0.511
1.263
0.296
0.318
2.069
0.819
0.99
2.449
2.679
0.393
1.276
3.082
