4-PV
1.153
0.256
0.301
0.423
0.281
0.223
0.342
0.232
0.272
0.262
0.216
0.209
0.303
19.383
0.524
1.247
3.446
0.356
0.324
0.207
1.181
2.89
0.406
1.246
0.311
0.242
0.234
10.122
0.216
0.245
