query=0
SPARQL query executed in 0.456s with 1 HTTP requests
query=1
SPARQL query executed in 0.5s with 1 HTTP requests
query=2
SPARQL query executed in 21.071s with 75 HTTP requests
query=3
SPARQL query executed in 0.875s with 3 HTTP requests
query=4
SPARQL query executed in 12.761s with 50 HTTP requests
query=5
SPARQL query executed in 11.199s with 49 HTTP requests
query=6
SPARQL query executed in 0.462s with 1 HTTP requests
query=7
SPARQL query executed in 11.481s with 49 HTTP requests
query=8
SPARQL query executed in 0.456s with 1 HTTP requests
query=9
SPARQL query executed in 11.909s with 46 HTTP requests
query=10
SPARQL query executed in 0.625s with 1 HTTP requests
query=11
SPARQL query executed in 10.857s with 49 HTTP requests
query=12
SPARQL query executed in 5.567s with 25 HTTP requests
query=13
SPARQL query executed in 9.782s with 51 HTTP requests
query=14
SPARQL query executed in 11.965s with 55 HTTP requests
query=15
SPARQL query executed in 0.403s with 1 HTTP requests
query=16
SPARQL query executed in 31.293s with 132 HTTP requests
query=17
SPARQL query executed in 10.777s with 49 HTTP requests
query=18
SPARQL query executed in 11.051s with 50 HTTP requests
query=19
SPARQL query executed in 0.421s with 1 HTTP requests
query=20
SPARQL query executed in 16.201s with 74 HTTP requests
query=21
SPARQL query executed in 11.156s with 50 HTTP requests
query=22
SPARQL query executed in 10.785s with 50 HTTP requests
query=23
SPARQL query executed in 10.752s with 49 HTTP requests
query=24
SPARQL query executed in 10.784s with 49 HTTP requests
query=25
SPARQL query executed in 0.589s with 2 HTTP requests
query=26
SPARQL query executed in 0.514s with 2 HTTP requests
query=27
SPARQL query executed in 10.888s with 49 HTTP requests
query=28
SPARQL query executed in 10.822s with 49 HTTP requests
query=29
SPARQL query executed in 11.014s with 50 HTTP requests
query=30
