,No. of Results Size (RS),Avg. queries exection time(sec)
0,1,0.29490000000000005
1,2,2.288733333333334
2,3,7.8707666666666665
3,4,4.163833333333333
4,5,3.6546333333333334
5,6,6.210533333333332
6,7,5.561400000000002
7,8,7.117666666666664
8,9,8.580533333333333
9,10,4.674799999999999
