4k-RS
1.144
0.421
0.74
1.168
2.629
4.023
22.898
0.363
1.177
0.31
0.582
1.917
4.421
1.963
5.404
2.335
0.321
26.82
4.316
0.287
1.03
4.199
1.591
1.634
28.714
2.403
1.015
0.295
0.481
0.314
