2k-RS
3.095
0.377
1.368
1.517
0.344
0.275
0.242
1.175
0.386
1.214
1.343
0.975
0.3
0.771
2.859
1.114
0.468
0.365
0.961
0.939
0.806
36.985
2.724
1.411
1.215
0.78
1.38
1.56
1.248
0.465
