2-JV
0.362
1.582
1.201
0.353
0.225
0.231
1.355
0.211
1.963
1.879
26.197
0.215
0.204
19.5
1.154
0.329
1.258
1.145
0.374
0.992
0.229
0.232
32.359
0.357
2.685
0.438
0.456
1.992
1.353
0.315
