9-TP
0.218
1.035
0.238
0.994
0.269
0.316
0.244
33.458
0.981
34.259
0.906
0.224
0.224
0.238
0.922
0.228
27.252
0.22
0.21
0.234
0.21
29.579
28.651
0.258
0.979
0.944
29.912
32.761
1.661
0.968
