8-TP
1.179
2.399
1.28
2.406
1.24
1.224
4.753
26.137
1.185
1.198
1.076
1.873
1.255
1.187
1.237
1.238
1.126
1.783
0.2
1.13
0.202
1.127
1.16
1.846
1.106
2.118
1.265
0.303
1.772
2.388
