4-TP
0.23
0.265
0.25
0.274
0.304
2.085
0.29
0.379
0.285
5.522
0.247
21.224
0.266
0.222
0.728
0.364
0.237
0.349
0.195
1.162
0.261
0.205
0.216
0.314
0.316
3.089
1.184
9.732
0.201
0.226
