1k-RS
0.315
0.288
0.24
0.214
0.27
0.255
0.24
0.267
0.208
0.254
0.221
0.243
0.226
0.246
0.224
0.221
0.218
0.248
0.286
0.221
0.309
0.37
0.485
0.262
0.382
0.488
0.62
0.331
0.391
0.304
