,No. of Join Vertices (JV),Avg. queries exection time(sec)
0,1,1.4575333333333333
1,2,3.3715333333333337
2,3,3.2110000000000003
3,4,1.805833333333333
4,5,12.466318181818183
5,6,34.29867741935483
