,1-PV,2-PV,3-PV,4-PV,5-PV,6-PV,7-PV,8-PV,9-PV,10-PV
0,0.231,0.379,0.463,1.153,0.364,0.24,0.245,1.968,0.424,2.527
1,0.229,0.26,0.324,0.256,1.16,0.285,0.252,2.033,0.588,39.351
2,0.299,0.438,0.204,0.301,0.225,0.305,1.658,5.905,2.138,1.862
3,0.336,0.326,0.274,0.423,0.357,0.247,0.21,5.119,0.322,3.651
4,0.248,0.23,0.218,0.281,0.225,0.224,0.219,2.092,0.395,4.904
5,0.342,2.821,2.549,0.223,0.352,2.273,0.508,1.834,0.503,0.483
6,0.316,1.338,0.843,0.342,0.206,0.758,0.217,6.437,1.562,1.248
7,0.333,19.111,29.358,0.232,1.231,0.863,0.209,2.76,50.344,6.544
8,0.34,0.264,0.292,0.272,0.333,0.243,0.423,44.338,1.31,38.478
9,0.347,0.244,5.122,0.262,1.377,0.2,0.53,1.487,39.981,3.944
10,0.355,0.262,33.671,0.216,0.535,0.221,0.226,4.654,1.329,5.207
11,0.366,0.261,0.379,0.209,1.035,0.313,1.986,2.022,0.35,35.557
12,0.324,0.203,0.509,0.303,0.53,1.333,32.854,1.438,0.363,38.078
13,0.335,0.266,0.284,19.383,0.238,0.225,34.417,1.69,0.34,0.619
14,0.327,1.932,0.287,0.524,28.922,2.895,2.611,2.165,1.389,0.489
15,0.339,0.265,0.456,1.247,0.211,3.332,0.482,2.765,42.719,3.699
16,0.343,0.318,0.54,3.446,0.455,0.311,30.535,3.213,0.387,3.584
17,0.342,0.228,4.257,0.356,0.726,0.226,0.268,6.936,0.36,3.32
18,0.368,0.31,0.248,0.324,0.513,0.321,3.716,2.074,0.433,0.587
19,0.328,0.25,5.8,0.207,0.387,0.211,0.283,0.431,0.847,4.023
20,0.337,0.215,0.21,1.181,0.298,0.278,0.246,0.492,53.082,0.56
21,0.368,0.289,0.24,2.89,11.801,0.381,0.33,2.315,55.558,0.584
22,0.341,0.229,0.369,0.406,0.532,0.264,0.234,2.503,0.538,1.687
23,0.326,0.256,0.194,1.246,0.214,0.453,0.238,2.742,0.564,4.668
24,0.331,0.305,0.329,0.311,1.301,0.295,0.217,1.653,2.138,44.099
25,0.374,0.833,0.291,0.242,171.493,0.515,995.488,2.644,54.458,1.595
26,0.358,0.251,0.443,0.234,0.252,0.523,0.552,1.482,2.849,0.537
27,0.347,0.244,0.208,10.122,0.21,0.542,0.32,3.179,71.612,41.719
28,0.351,0.419,0.407,0.216,0.215,0.506,0.298,2.789,2.576,2.774
29,0.319,1.837,0.607,0.245,0.227,0.551,1.601,2.854,1.994,2.091
mean,0.33,1.1527999999999998,2.9792000000000005,1.5684333333333336,7.530833333333335,0.6444666666666667,37.045766666666665,4.1338,13.048433333333337,9.948966666666669
