,1k-RS,2k-RS,3k-RS,4k-RS,5k-RS,6k-RS,7k-RS,8k-RS,9k-RS,10k-RS
0,0.315,3.095,2.04,1.144,6.161,1.346,12.478,25.987,0.456,2.548
1,0.288,0.377,2.2,0.421,0.412,1.122,0.517,2.09,0.5,1.114
2,0.24,1.368,0.434,0.74,1.218,0.483,42.77,4.848,21.071,30.032
3,0.214,1.517,0.577,1.168,6.653,3.617,0.584,25.627,0.875,6.19
4,0.27,0.344,1.315,2.629,0.603,1.903,6.652,2.532,12.761,2.751
5,0.255,0.275,34.251,4.023,0.298,0.428,0.359,0.233,11.199,3.785
6,0.24,0.242,0.416,22.898,1.46,0.681,5.133,25.725,0.462,3.249
7,0.267,1.175,1.888,0.363,0.414,1.513,4.883,25.598,11.481,3.339
8,0.208,0.386,0.581,1.177,30.936,0.469,8.656,9.83,0.456,1.437
9,0.254,1.214,1.67,0.31,0.959,2.116,0.506,2.925,11.909,2.05
10,0.221,1.343,0.215,0.582,3.815,1.982,0.259,2.215,0.625,0.52
11,0.243,0.975,165.45,1.917,0.698,0.604,0.458,2.778,10.857,4.982
12,0.226,0.3,0.534,4.421,0.392,0.656,0.293,3.387,5.567,7.131
13,0.246,0.771,3.647,1.963,5.705,0.521,5.968,3.25,9.782,7.675
14,0.224,2.859,0.543,5.404,0.946,0.981,7.002,1.269,11.965,2.139
15,0.221,1.114,3.714,2.335,0.511,1.901,7.367,0.214,0.403,0.478
16,0.218,0.468,0.306,0.321,0.868,0.397,6.947,16.696,31.293,10.633
17,0.248,0.365,0.197,26.82,0.281,1.194,3.984,0.896,10.777,0.669
18,0.286,0.961,0.511,4.316,0.285,45.356,0.231,12.474,11.051,4.434
19,0.221,0.939,1.263,0.287,0.39,37.532,3.192,0.2,0.421,0.621
20,0.309,0.806,0.296,1.03,28.614,1.899,4.838,1.155,16.201,1.258
21,0.37,36.985,0.318,4.199,1.504,1.16,22.259,2.456,11.156,0.597
22,0.485,2.724,2.069,1.591,5.23,1.264,0.205,0.211,10.785,11.348
23,0.262,1.411,0.819,1.634,0.904,1.254,5.541,3.2,10.752,5.286
24,0.382,1.215,0.99,28.714,0.389,2.693,6.347,25.701,10.784,12.255
25,0.488,0.78,2.449,2.403,0.737,35.054,6.136,4.133,0.589,0.61
26,0.62,1.38,2.679,1.015,0.987,2.201,0.319,0.197,0.514,2.659
27,0.331,1.56,0.393,0.295,7.54,1.102,0.262,0.653,10.888,3.436
28,0.391,1.248,1.276,0.481,0.432,32.594,0.229,4.831,10.822,2.388
29,0.304,0.465,3.082,0.314,0.297,2.293,2.467,2.219,11.014,4.63
mean,0.29490000000000005,2.288733333333334,7.8707666666666665,4.163833333333333,3.6546333333333334,6.210533333333332,5.561400000000002,7.117666666666664,8.580533333333333,4.674799999999999
