,No. of Projection Variables (PV),Avg. queries exection time(sec)
0,1,0.07613333333333334
1,2,0.1851
2,3,0.41446666666666665
3,4,0.22255172413793103
4,5,0.4033333333333333
5,6,0.2552
6,7,0.2781666666666667
7,8,0.33903333333333335
8,9,0.45093333333333335
9,10,1.039
