,No. of Triple Patterns (TP),Avg. queries exection time(sec)
0,1,0.07713333333333335
1,2,0.18436666666666668
2,3,0.4306666666666667
3,4,0.23123333333333332
4,5,0.3971
5,6,0.2537
6,7,0.277
7,8,0.35286666666666666
8,9,0.4304
9,10,1.0077333333333334
