,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,1.114,1.296,1.317,1.545,1.238,1.628,3.586,1.681,1.896,4.32
1,0.054,0.333,0.143,0.218,0.182,0.194,0.115,0.371,1.071,0.305
2,0.057,0.13,0.13,0.26,0.819,0.22,0.102,0.529,0.43,1.072
3,0.038,0.077,0.353,0.137,0.125,0.157,0.1,0.349,0.328,0.336
4,0.034,0.1,0.251,0.081,0.141,0.14,0.145,0.196,0.244,0.243
5,0.031,0.077,0.089,0.165,0.215,0.119,0.106,0.313,1.165,0.234
6,0.045,0.066,4.093,0.125,0.134,0.146,0.099,0.368,0.251,0.226
7,0.038,0.087,0.079,1.413,0.1,0.197,0.111,0.671,0.573,0.227
8,0.047,0.085,0.273,0.152,0.12,0.131,0.091,0.195,0.16,0.239
9,0.044,0.252,0.226,0.113,0.178,0.127,0.124,0.269,0.558,0.282
10,0.05,0.087,0.16,0.097,2.975,0.104,0.134,0.305,0.266,0.282
11,0.047,0.102,2.351,0.12,0.077,0.099,0.146,0.325,0.239,0.905
12,0.048,0.073,0.043,0.105,0.353,0.094,0.074,0.343,0.232,0.262
13,0.037,0.074,0.143,0.102,0.463,0.087,0.078,0.19,0.171,0.254
14,0.042,0.076,0.069,0.084,0.096,0.099,0.083,0.245,0.16,0.257
15,0.055,0.082,0.08,0.085,0.086,0.094,0.074,0.253,0.183,1.362
16,0.038,0.081,0.063,0.14,0.151,0.102,0.108,0.208,0.169,0.22
17,0.037,0.086,0.061,0.104,1.379,0.096,0.171,0.164,0.17,0.243
18,0.035,0.072,0.065,0.133,0.079,0.089,0.078,0.203,1.286,0.256
19,0.04,0.161,0.087,0.155,0.07,0.1,0.111,0.135,0.172,6.946
20,0.041,0.084,1.784,0.138,0.101,0.652,0.074,0.139,0.977,0.535
21,0.041,0.083,0.111,0.138,0.117,0.09,1.284,0.146,0.165,0.281
22,0.039,0.217,0.057,0.121,0.092,0.092,0.105,0.131,0.168,0.811
23,0.043,0.063,0.328,0.343,1.875,0.088,0.116,0.144,0.639,0.289
24,0.041,0.095,0.055,0.094,0.149,1.413,0.081,0.207,0.168,1.841
25,0.04,1.223,0.059,0.105,0.135,0.098,0.143,0.111,0.264,0.22
26,0.036,0.085,0.053,0.075,0.222,0.095,0.078,0.128,0.18,0.211
27,0.033,0.097,0.059,0.105,0.071,0.102,0.085,0.175,0.207,2.327
28,0.031,0.083,0.286,0.281,0.072,0.882,0.077,0.44,0.172,3.69
29,0.038,0.104,0.052,0.203,0.098,0.076,0.631,1.652,0.248,1.556
mean,0.07713333333333335,0.18436666666666668,0.4306666666666667,0.23123333333333332,0.3971,0.2537,0.277,0.35286666666666666,0.4304,1.0077333333333334
