,8k-RS
0,10.125
1,17.021
2,26.564
3,92.676
4,37.224
5,0.616
6,37.099
7,44.992
8,0.634
9,44.711
10,61.413
11,30.65
12,91.846
13,13.808
14,16.837
15,0.607
16,92.773
17,8.512
18,60.504
19,0.632
20,16.704
21,27.189
22,0.628
23,13.975
24,63.595
25,61.006
26,0.616
27,6.766
28,9.665
29,35.063
