,5k-RS
0,10.421
1,1.785
2,9.785
3,5.562
4,6.274
5,0.994
6,7.453
7,0.665
8,24.417
9,7.333
10,11.388
11,2.632
12,40.157
13,5.519
14,5.067
15,3.621
16,4.772
17,0.646
18,0.612
19,5.197
20,0.643
21,6.097
22,7.402
23,12.422
24,88.243
25,2.33
26,14.734
27,10.178
28,1.63
29,0.902
