,3k-RS
0,18.75
1,17.786
2,0.657
3,7.335
4,23.577
5,166.015
6,2.622
7,18.787
8,1.124
9,27.27
10,24.864
11,0.655
12,2.861
13,27.49
14,7.229
15,29.092
16,0.825
17,56.18
18,8.093
19,26.844
20,1.186
21,1.098
22,19.002
23,23.583
24,15.129
25,7.152
26,16.779
27,1.585
28,4.6
29,18.597
