,1k-RS
0,0.799
1,0.655
2,0.684
3,0.778
4,0.708
5,2.348
6,0.708
7,1.949
8,0.686
9,2.296
10,0.717
11,0.702
12,0.729
13,1.62
14,2.145
15,0.948
16,0.691
17,0.638
18,0.668
19,0.693
20,1.771
21,0.678
22,0.681
23,0.73
24,2.34
25,2.571
26,1.798
27,0.715
28,2.319
29,2.159
