,10k-RS
0,17.616
1,3.552
2,175.145
3,42.224
4,14.004
5,17.144
6,17.415
7,15.959
8,4.75
9,12.806
10,1.985
11,26.288
12,40.037
13,31.597
14,13.186
15,1.952
16,47.175
17,3.021
18,22.419
19,1.501
20,4.228
21,2.086
22,21.773
23,10.905
24,71.887
25,2.366
26,14.887
27,19.947
28,10.119
29,16.375
