,2k-RS
0,7.366
1,6.811
2,21.089
3,17.673
4,1.347
5,1.365
6,1.009
7,19.019
8,1.789
9,13.479
10,9.919
11,19.922
12,1.578
13,11.648
14,60.296
15,11.268
16,2.103
17,10.247
18,4.482
19,34.971
20,4.404
21,43.173
22,14.499
23,14.423
24,21.245
25,5.724
26,17.963
27,13.026
28,22.763
29,1.341
