,4k-RS
0,7.727
1,1.609
2,5.404
3,17.028
4,40.146
5,77.483
6,128.727
7,1.109
8,4.105
9,1.141
10,5.514
11,6.051
12,10.338
13,12.512
14,5.999
15,9.111
16,1.056
17,28.395
18,26.365
19,0.857
20,15.497
21,5.979
22,11.721
23,9.588
24,81.118
25,16.638
26,12.768
27,1.658
28,4.178
29,1.281
