,7-TP
0,0.657
1,0.682
2,14.729
3,0.712
4,1.893
5,0.688
6,0.667
7,0.754
8,0.687
9,2.192
10,259.412
11,1.415
12,14.178
13,21.06
14,257.793
15,260.807
16,0.647
17,33.049
18,1.358
19,2.354
20,0.673
21,0.777
22,9.004
23,48.733
24,0.689
25,2.784
26,6.676
27,2.835
28,2.423
29,2.539
