,6-TP
0,2.178
1,2.095
2,2.358
3,9.98
4,0.822
5,3.866
6,14.385
7,14.382
8,5.4
9,2.267
10,0.866
11,20.843
12,1.786
13,1.44
14,46.624
15,1.888
16,1.868
17,26.707
18,5.253
19,1.63
20,187.525
21,1.474
22,3.081
23,97.322
24,6.868
25,2.102
26,1.628
27,9.03
28,2.337
29,3.775
