,1-TP,2-TP,3-TP,4-TP,5-TP,6-TP,7-TP,8-TP,9-TP,10-TP
0,0.595,1.296,1.167,0.628,15.184,2.178,0.657,16.076,0.729,44.694
1,0.601,0.771,2.194,0.786,0.673,2.095,0.682,17.549,18.886,256.514
2,0.587,0.804,3.381,0.687,5.662,2.358,14.729,8.614,0.686,6.037
3,0.613,0.579,0.653,0.864,5.366,9.98,0.712,18.233,20.109,57.992
4,0.613,0.605,16.675,1.323,0.646,0.822,1.893,12.688,0.642,34.098
5,0.581,2.787,1.577,7.772,0.746,3.866,0.688,8.315,0.65,28.07
6,0.595,0.82,10.919,1.316,6.247,14.385,0.667,62.279,0.676,26.893
7,0.581,0.814,169.253,2.451,1.593,14.382,0.754,0.677,271.834,251.277
8,0.652,52.247,0.857,0.712,5.372,5.4,0.687,8.287,21.54,9.991
9,0.671,2.856,0.611,28.176,6.279,2.267,2.192,12.422,255.63,26.44
10,0.715,0.849,7.013,1.149,5.302,0.866,259.412,13.675,22.985,26.944
11,0.631,0.807,1.711,0.613,2.757,20.843,1.415,18.904,0.679,251.61
12,0.601,4.845,3.773,0.62,0.643,1.786,14.178,8.436,0.694,258.63
13,0.582,0.625,0.621,0.645,8.8,1.44,21.06,8.631,0.694,37.58
14,0.582,0.615,1.14,4.191,0.688,46.624,257.793,8.394,20.752,26.517
15,0.592,0.794,9.748,2.546,5.777,1.888,260.807,10.735,0.673,85.736
16,0.607,0.607,1.834,1.213,6.14,1.868,0.647,13.524,256.934,49.475
17,0.6,0.751,1.056,1.523,137.528,26.707,33.049,17.428,2.303,52.736
18,0.608,0.657,0.639,0.67,15.41,5.253,1.358,0.636,0.678,7.732
19,0.591,0.805,0.604,4.128,26.44,1.63,2.354,12.272,0.684,22.557
20,0.595,0.974,1.109,0.783,2.239,187.525,0.673,0.657,0.714,6.614
21,0.593,0.984,0.67,0.638,22.96,1.474,0.777,14.425,260.789,5.52
22,0.591,0.606,38.464,1.31,43.02,3.081,9.004,12.418,254.388,153.404
23,0.611,0.583,94.865,0.642,0.656,97.322,48.733,17.516,0.657,257.03
24,0.575,0.646,6.274,2.018,10.269,6.868,0.689,17.686,19.895,254.846
25,0.575,0.631,1.41,0.611,5.92,2.102,2.784,16.828,21.293,133.342
26,0.588,3.772,1.027,9.796,1.283,1.628,6.676,16.211,257.396,58.912
27,0.598,0.756,1.662,99.423,0.633,9.03,2.835,42.966,253.908,7.86
28,0.597,0.62,5.33,0.653,0.635,2.337,2.423,17.225,29.619,5.204
29,0.601,1.028,0.743,2.175,1.944,3.775,2.539,17.054,20.77,26.437
mean,0.6040666666666666,2.8511333333333337,12.899333333333333,6.002066666666667,11.560399999999998,16.05933333333333,31.762233333333334,15.025366666666667,67.26289999999997,82.3564
