,8-PV
0,12.873
1,8.807
2,18.851
3,17.799
4,16.586
5,13.014
6,62.128
7,20.352
8,0.657
9,11.823
10,12.301
11,8.702
12,11.105
13,8.577
14,9.863
15,9.59
16,16.445
17,21.5
18,13.327
19,0.677
20,0.804
21,18.914
22,12.602
23,17.216
24,19.791
25,22.208
26,25.069
27,27.892
28,19.69
29,22.0
