,9-TP
0,0.729
1,18.886
2,0.686
3,20.109
4,0.642
5,0.65
6,0.676
7,271.834
8,21.54
9,255.63
10,22.985
11,0.679
12,0.694
13,0.694
14,20.752
15,0.673
16,256.934
17,2.303
18,0.678
19,0.684
20,0.714
21,260.789
22,254.388
23,0.657
24,19.895
25,21.293
26,257.396
27,253.908
28,29.619
29,20.77
