,4-TP
0,0.628
1,0.786
2,0.687
3,0.864
4,1.323
5,7.772
6,1.316
7,2.451
8,0.712
9,28.176
10,1.149
11,0.613
12,0.62
13,0.645
14,4.191
15,2.546
16,1.213
17,1.523
18,0.67
19,4.128
20,0.783
21,0.638
22,1.31
23,0.642
24,2.018
25,0.611
26,9.796
27,99.423
28,0.653
29,2.175
