,6k-RS
0,3.495
1,3.703
2,1.78
3,8.401
4,5.038
5,1.029
6,1.98
7,4.008
8,1.094
9,4.573
10,5.345
11,6.818
12,2.199
13,1.562
14,1.946
15,3.98
16,1.058
17,1.084
18,18.431
19,12.957
20,4.73
21,3.495
22,3.617
23,2.392
24,4.778
25,12.978
26,3.848
27,5.644
28,16.533
29,8.469
