,1-JV
0,0.834
1,8.712
2,0.724
3,4.153
4,2.409
5,0.796
6,0.695
7,0.881
8,1.102
9,1.964
10,1.041
11,1.026
12,22.109
13,0.62
14,0.667
15,5.821
16,1.37
17,198.825
18,1.301
19,0.636
20,6.282
21,1.196
22,0.935
23,10.945
24,0.647
25,0.651
26,1.32
27,0.784
28,2.565
29,1.884
