,7k-RS
0,105.967
1,0.654
2,334.528
3,1.52
4,23.971
5,1.452
6,23.463
7,22.528
8,22.183
9,23.303
10,0.622
11,1.365
12,0.605
13,22.816
14,23.368
15,25.425
16,24.687
17,14.435
18,0.63
19,37.313
20,25.567
21,0.655
22,0.624
23,24.295
24,25.041
25,25.503
26,21.556
27,110.413
28,0.636
29,34.785
