,5-TP
0,15.184
1,0.673
2,5.662
3,5.366
4,0.646
5,0.746
6,6.247
7,1.593
8,5.372
9,6.279
10,5.302
11,2.757
12,0.643
13,8.8
14,0.688
15,5.777
16,6.14
17,137.528
18,15.41
19,26.44
20,2.239
21,22.96
22,43.02
23,0.656
24,10.269
25,5.92
26,1.283
27,0.633
28,0.635
29,1.944
