,9k-RS
0,1.335
1,1.79
2,53.396
3,3.295
4,7.594
5,7.646
6,1.805
7,7.805
8,1.724
9,42.024
10,1.583
11,7.832
12,4.549
13,51.75
14,52.702
15,1.488
16,116.67
17,7.623
18,7.645
19,1.688
20,10.864
21,7.652
22,7.979
23,7.803
24,7.761
25,2.455
26,2.138
27,7.76
28,8.172
29,7.664
